brand,region,city,location_type,event_type,start_date,end_date,lease_length_days,sku,product_name,price_usd,avg_daily_footfall,units_sold,sell_through_pct,sold per day,Total Revenue,Total Visitors 
Huda Beauty,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,4/6/25,4/23/25,17,LE-NO1K7GHO,Huda Beauty Éclat Setting Powder,83.66,1456,885,75.19,52.05882353,74039.1,24752
Hermès Beauty,Europe,Milan,Airport Duty-Free,Shop-in-Shop,4/27/25,5/10/25,13,LE-1K80FI4D,Hermès Beauty Noir Foundation,75.22,1493,1663,48.26,127.9230769,125090.86,19409
Chanel,Latin America,Buenos Aires,Art/Design District,Mall Kiosk,9/5/24,11/18/24,74,LE-QHSLVGI2,Chanel Mirage Mascara,30.75,718,704,66.48,9.513513514,21648,53132
NARS,Asia-Pacific,Shanghai,Department Store Atrium,Standalone Pop-Up,11/3/24,12/20/24,47,LE-2NYM7JFC,NARS Rouge Highlighter,66.73,1517,854,66.15,18.17021277,56987.42,71299
Chanel,Asia-Pacific,Shanghai,Department Store Atrium,Flash Event,7/4/24,9/6/24,64,LE-DPH63DMG,Chanel Glow Serum,170.29,1605,2962,91.05,46.28125,504398.98,102720
Rare Beauty,North America,Toronto,Department Store Atrium,Shop-in-Shop,6/3/24,6/16/24,13,LE-SQD56OOJ,Rare Beauty Satin Primer,66.23,1234,2515,61.3,193.4615385,166568.45,16042
Rare Beauty,Europe,London,Art/Design District,Flash Event,10/31/24,12/25/24,55,LE-J9NIXMML,Rare Beauty Velvet Highlighter,85.35,1220,2725,69.46,49.54545455,232578.75,67100
Estée Lauder,North America,Chicago,Department Store Atrium,Shop-in-Shop,3/31/24,5/30/24,60,LE-MF69APHM,Estée Lauder Opulence Eyeshadow Palette,105.04,691,2296,50.44,38.26666667,241171.84,41460
Huda Beauty,Asia-Pacific,Hong Kong,Airport Duty-Free,Standalone Pop-Up,7/24/24,10/19/24,87,LE-LI3U40B5,Huda Beauty Éclat Primer,65.07,1001,3761,93.05,43.22988506,244728.27,87087
Sisley-Paris,Middle East,Jeddah,Department Store Atrium,Mall Kiosk,7/18/25,7/25/25,7,LE-46F6IFBF,Sisley-Paris Éclat Serum,279.14,888,2551,51.06,364.4285714,712086.14,6216
YSL Beauty,Europe,Madrid,Airport Duty-Free,Mobile Pop-Up Truck,1/8/25,1/14/25,6,LE-82NRN3EV,YSL Beauty Pearl Blush,41.05,785,2440,59.17,406.6666667,100162,4710
Valentino Beauty,Latin America,São Paulo,Department Store Atrium,Mall Kiosk,1/1/25,3/20/25,78,LE-TX6NH9N8,Valentino Beauty Satin Fragrance,236.65,1466,2016,71.64,25.84615385,477086.4,114348
MAC Cosmetics,Asia-Pacific,Singapore,Luxury Mall,Standalone Pop-Up,4/18/25,7/14/25,87,LE-UWU9ZFZE,MAC Cosmetics Glow Primer,59.63,852,1836,82.59,21.10344828,109480.68,74124
Charlotte Tilbury,Europe,Milan,Airport Duty-Free,Mobile Pop-Up Truck,10/3/24,11/10/24,38,LE-4LTAVIV9,Charlotte Tilbury Lumière Serum,84.34,1518,3254,94.57,85.63157895,274442.36,57684
Bobbi Brown,Latin America,São Paulo,High-Street,Standalone Pop-Up,6/15/25,7/2/25,17,LE-TBHTA4C9,Bobbi Brown Mirage Lipstick,37.48,2426,2939,74.01,172.8823529,110153.72,41242
Clé de Peau Beauté,Middle East,Doha,Department Store Atrium,Standalone Pop-Up,9/19/24,12/8/24,80,LE-2S5MCAV9,Clé de Peau Beauté Noir Primer,37.99,980,3427,70.33,42.8375,130191.73,78400
Bobbi Brown,North America,Chicago,Department Store Atrium,Shop-in-Shop,2/27/24,3/30/24,32,LE-TG82GBN5,Bobbi Brown Rouge Blush,48.2,644,2547,68.32,79.59375,122765.4,20608
Guerlain,North America,New York,Luxury Mall,Shop-in-Shop,6/14/24,7/6/24,22,LE-C4LL95DQ,Guerlain Satin Mascara,61.69,1725,1619,66.68,73.59090909,99876.11,37950
Shiseido,Asia-Pacific,Singapore,Art/Design District,Flash Event,2/23/24,4/4/24,41,LE-T4BSKLWB,Shiseido Glow Mascara,73.49,758,755,71.77,18.41463415,55484.95,31078
Bobbi Brown,Europe,Milan,Department Store Atrium,Shop-in-Shop,10/10/24,12/31/24,82,LE-G1QJUSJQ,Bobbi Brown Mirage Fragrance,339.9,1715,1447,77.05,17.64634146,491835.3,140630
Tom Ford Beauty,Asia-Pacific,Seoul,Department Store Atrium,Mobile Pop-Up Truck,5/15/25,6/10/25,26,LE-LYCUJZ0Q,Tom Ford Beauty Lumière Setting Powder,67.78,1712,1291,56.9,49.65384615,87503.98,44512
Armani Beauty,North America,Miami,Art/Design District,Standalone Pop-Up,8/21/24,10/12/24,52,LE-M5YZ6FCC,Armani Beauty Rouge Setting Powder,49.28,963,3316,75.69,63.76923077,163412.48,50076
Clé de Peau Beauté,Asia-Pacific,Shanghai,Airport Duty-Free,Mobile Pop-Up Truck,3/20/25,4/17/25,28,LE-867B2HS5,Clé de Peau Beauté Noir Setting Powder,79.23,1057,3420,98.7,122.1428571,270966.6,29596
Pat McGrath Labs,North America,Chicago,Art/Design District,Shop-in-Shop,4/6/24,4/13/24,7,LE-NL8HLI8K,Pat McGrath Labs Satin Serum,174.7,1324,2201,51.01,314.4285714,384514.7,9268
Sisley-Paris,Asia-Pacific,Singapore,Art/Design District,Mall Kiosk,7/16/24,8/4/24,19,LE-Z9EETNGP,Sisley-Paris Mirage Blush,47.63,706,1752,86.26,92.21052632,83447.76,13414
NARS,Latin America,Bogotá,Art/Design District,Flash Event,1/28/25,3/1/25,32,LE-1V3EXMI8,NARS Pearl Highlighter,79.94,642,3251,82.55,101.59375,259884.94,20544
Givenchy Beauty,Middle East,Dubai,High-Street,Mall Kiosk,8/21/24,8/26/24,5,LE-09689UTH,Givenchy Beauty Pearl Setting Powder,83.14,2506,1919,56.99,383.8,159545.66,12530
Estée Lauder,Asia-Pacific,Singapore,Luxury Mall,Mall Kiosk,3/25/25,6/12/25,79,LE-KGY5TZYQ,Estée Lauder Lumière Lipstick,66.87,1032,2865,69.25,36.26582278,191582.55,81528
Bobbi Brown,Asia-Pacific,Hong Kong,Department Store Atrium,Standalone Pop-Up,10/11/24,11/28/24,48,LE-V8ZQ4WY1,Bobbi Brown Rouge Primer,49.24,1151,4340,95.91,90.41666667,213701.6,55248
Hermès Beauty,Europe,London,High-Street,Shop-in-Shop,3/11/24,5/31/24,81,LE-DQ9T86F0,Hermès Beauty Éclat Blush,42.73,2521,1895,49.26,23.39506173,80973.35,204201
Estée Lauder,Europe,Paris,High-Street,Flash Event,2/11/25,4/9/25,57,LE-DGE3JZQT,Estée Lauder Lumière Fragrance,142.88,1814,1359,97.42,23.84210526,194173.92,103398
Dior,Asia-Pacific,Shanghai,Department Store Atrium,Mall Kiosk,5/8/25,7/26/25,79,LE-3FVZGCD4,Dior Glow Foundation,60.92,1533,2680,59.14,33.92405063,163265.6,121107
Fenty Beauty,North America,New York,Art/Design District,Mall Kiosk,11/13/24,11/18/24,5,LE-VNQ5L8WX,Fenty Beauty Mirage Serum,86.35,939,844,100,168.8,72879.4,4695
Shiseido,Middle East,Jeddah,Luxury Mall,Mall Kiosk,5/31/24,7/5/24,35,LE-L39GKA0K,Shiseido Rouge Eyeshadow Palette,149,1340,1636,47.66,46.74285714,243764,46900
Hourglass,Europe,London,Luxury Mall,Shop-in-Shop,12/22/24,2/17/25,57,LE-NUABSBKG,Hourglass Noir Highlighter,74.37,1569,3706,88.94,65.01754386,275615.22,89433
Huda Beauty,Asia-Pacific,Tokyo,Art/Design District,Standalone Pop-Up,4/9/25,5/17/25,38,LE-6FACGJUK,Huda Beauty Glow Mascara,39.88,1091,1301,67.24,34.23684211,51883.88,41458
Hourglass,North America,New York,High-Street,Mall Kiosk,8/2/24,9/3/24,32,LE-9IVYGOSS,Hourglass Éclat Highlighter,85.93,904,2270,46.1,70.9375,195061.1,28928
Givenchy Beauty,Asia-Pacific,Singapore,Luxury Mall,Mobile Pop-Up Truck,4/4/24,4/27/24,23,LE-58LV9RJJ,Givenchy Beauty Lumière Fragrance,244.68,1930,1863,96.63,81,455838.84,44390
Sisley-Paris,Asia-Pacific,Hong Kong,High-Street,Flash Event,11/12/24,12/31/24,49,LE-CJCI7VK7,Sisley-Paris Velvet Eyeshadow Palette,50.23,1270,680,63.97,13.87755102,34156.4,62230
Shiseido,Asia-Pacific,Shanghai,Airport Duty-Free,Mall Kiosk,6/18/24,7/2/24,14,LE-RA7QKJPL,Shiseido Satin Foundation,87.42,1916,2079,47.2,148.5,181746.18,26824
Hourglass,Latin America,São Paulo,Luxury Mall,Mall Kiosk,7/9/25,7/14/25,5,LE-ZJ6YDROQ,Hourglass Rouge Highlighter,72.16,1241,1887,73.88,377.4,136165.92,6205
MAC Cosmetics,Middle East,Doha,Luxury Mall,Standalone Pop-Up,10/26/24,12/19/24,54,LE-7P2PT0SQ,MAC Cosmetics Mirage Lipstick,49.62,1587,1064,85.32,19.7037037,52795.68,85698
Sisley-Paris,Europe,Berlin,Airport Duty-Free,Standalone Pop-Up,4/3/24,6/28/24,86,LE-CVALUD5B,Sisley-Paris Mirage Highlighter,61.24,781,846,82.94,9.837209302,51809.04,67166
Hourglass,Europe,London,High-Street,Shop-in-Shop,3/10/24,5/5/24,56,LE-FAV2HAAB,Hourglass Éclat Mascara,45.29,3069,2401,86.21,42.875,108741.29,171864
Shiseido,Europe,Paris,Department Store Atrium,Mall Kiosk,3/26/24,5/25/24,60,LE-BP8L2C5V,Shiseido Glow Setting Powder,65.62,1682,2054,53.57,34.23333333,134783.48,100920
Givenchy Beauty,Asia-Pacific,Tokyo,High-Street,Mall Kiosk,10/24/24,11/19/24,26,LE-F99T66FO,Givenchy Beauty Pearl Eyeshadow Palette,67.48,1456,1495,66.27,57.5,100882.6,37856
Sisley-Paris,Latin America,Mexico City,Art/Design District,Flash Event,9/24/24,10/26/24,32,LE-K66LZOKT,Sisley-Paris Lumière Highlighter,56.24,797,3132,72.6,97.875,176143.68,25504
Pat McGrath Labs,Asia-Pacific,Singapore,Art/Design District,Mobile Pop-Up Truck,3/8/25,3/23/25,15,LE-SCRG3H99,Pat McGrath Labs Velvet Eyeshadow Palette,67.1,875,2476,85.03,165.0666667,166139.6,13125
Pat McGrath Labs,Middle East,Abu Dhabi,High-Street,Mall Kiosk,3/25/24,6/11/24,78,LE-PRN1GYBC,Pat McGrath Labs Lumière Eyeshadow Palette,129.51,1180,1786,79.06,22.8974359,231304.86,92040
Tom Ford Beauty,Europe,Milan,High-Street,Shop-in-Shop,5/21/25,6/10/25,20,LE-ZEAKQ1NR,Tom Ford Beauty Opulence Lipstick,36.44,2190,2767,92.23,138.35,100829.48,43800
Bobbi Brown,Middle East,Doha,Airport Duty-Free,Mall Kiosk,12/24/24,3/7/25,73,LE-O8M1AZHM,Bobbi Brown Opulence Blush,53.08,2307,2794,78.97,38.2739726,148305.52,168411
Chanel,North America,Toronto,High-Street,Flash Event,4/2/24,7/1/24,90,LE-T1CZAZW1,Chanel Éclat Blush,49.92,2991,2552,64.22,28.35555556,127395.84,269190
Sisley-Paris,North America,Chicago,Department Store Atrium,Mall Kiosk,3/10/24,6/7/24,89,LE-Q7EQP1Y9,Sisley-Paris Rouge Fragrance,314.89,1613,1200,84.51,13.48314607,377868,143557
Hourglass,Middle East,Abu Dhabi,Department Store Atrium,Mobile Pop-Up Truck,4/9/24,4/25/24,16,LE-G3X4NYMY,Hourglass Éclat Foundation,67.75,743,3604,92.6,225.25,244171,11888
Fenty Beauty,Middle East,Abu Dhabi,High-Street,Flash Event,4/5/25,5/28/25,53,LE-WAHH3W1W,Fenty Beauty Lumière Lipstick,75.85,1971,896,95.62,16.90566038,67961.6,104463
Valentino Beauty,Latin America,Mexico City,Art/Design District,Shop-in-Shop,5/21/25,5/25/25,4,LE-Q3DBT4JY,Valentino Beauty Lumière Eyeshadow Palette,85.1,835,3184,70.21,796,270958.4,3340
Bobbi Brown,North America,Chicago,Airport Duty-Free,Flash Event,8/18/24,10/15/24,58,LE-RAXQV3JI,Bobbi Brown Noir Foundation,82.85,1129,1715,78.03,29.56896552,142087.75,65482
YSL Beauty,North America,Chicago,Luxury Mall,Mall Kiosk,5/11/24,6/18/24,38,LE-S1SXAHFL,YSL Beauty Opulence Blush,30.69,831,2176,65.8,57.26315789,66781.44,31578
YSL Beauty,Latin America,Bogotá,Airport Duty-Free,Flash Event,4/21/25,6/27/25,67,LE-U0CARU64,YSL Beauty Pearl Primer,69.45,1976,2324,96.15,34.68656716,161401.8,132392
Rare Beauty,Europe,Unknown,Luxury Mall,Flash Event,2/27/25,3/21/25,22,LE-LQIT6XIM,Rare Beauty Rouge Blush,46.64,923,3888,87.96,176.7272727,181336.32,20306
Valentino Beauty,Middle East,Doha,Art/Design District,Mobile Pop-Up Truck,9/10/24,10/10/24,30,LE-7MTNHK5B,Valentino Beauty Lumière Highlighter,79.2,647,4445,92.47,148.1666667,352044,19410
Bobbi Brown,Latin America,Bogotá,Airport Duty-Free,Mall Kiosk,4/18/24,4/27/24,9,LE-5DIP3IF3,Bobbi Brown Satin Foundation,57.88,2194,792,75.79,88,45840.96,19746
Dior,Latin America,Buenos Aires,High-Street,Mall Kiosk,2/29/24,5/25/24,86,LE-JNOMXIS6,Dior Mirage Foundation,117.59,1110,868,82.51,10.09302326,102068.12,95460
Fenty Beauty,Europe,Milan,Department Store Atrium,Standalone Pop-Up,10/8/24,10/20/24,12,LE-HZAKGO3T,Fenty Beauty Lumière Setting Powder,55.22,1298,2986,83.06,248.8333333,164886.92,15576
Chanel,Middle East,Jeddah,Art/Design District,Mall Kiosk,7/27/24,9/17/24,52,LE-5R9IF0IE,Chanel Mirage Highlighter,35.17,704,2926,63.83,56.26923077,102907.42,36608
Fenty Beauty,North America,New York,Department Store Atrium,Mobile Pop-Up Truck,10/18/24,12/26/24,69,LE-94HLKO76,Fenty Beauty Velvet Primer,47.53,1655,3488,94.65,50.55072464,165784.64,114195
Hermès Beauty,Europe,Milan,High-Street,Mall Kiosk,6/13/24,7/25/24,42,LE-YL5Z9JNG,Hermès Beauty Mirage Primer,62.25,2472,2238,79.67,53.28571429,139315.5,103824
MAC Cosmetics,Latin America,São Paulo,High-Street,Standalone Pop-Up,2/9/25,3/28/25,47,LE-9I0TX3CX,MAC Cosmetics Noir Foundation,64.56,1985,363,57.8,7.723404255,23435.28,93295
YSL Beauty,Latin America,Bogotá,Department Store Atrium,Shop-in-Shop,9/3/24,9/22/24,19,LE-HHL2RAG5,YSL Beauty Lumière Fragrance,232.83,940,382,42.97,20.10526316,88941.06,17860
Clé de Peau Beauté,Asia-Pacific,Tokyo,Airport Duty-Free,Shop-in-Shop,6/7/25,7/28/25,51,LE-OLP581S7,Clé de Peau Beauté Mirage Mascara,36.8,1887,314,41.98,6.156862745,11555.2,96237
YSL Beauty,Asia-Pacific,Seoul,Airport Duty-Free,Mall Kiosk,2/22/25,4/9/25,46,LE-DVREC8A1,YSL Beauty Opulence Mascara,50.31,1564,1646,84.11,35.7826087,82810.26,71944
Hourglass,Latin America,Bogotá,Department Store Atrium,Mall Kiosk,7/10/24,8/13/24,34,LE-6DYPA1LO,Hourglass Velvet Setting Powder,74.73,1297,720,56.34,21.17647059,53805.6,44098
Fenty Beauty,Europe,Milan,Art/Design District,Mall Kiosk,11/29/24,2/27/25,90,LE-OIOLAT92,Fenty Beauty Glow Eyeshadow Palette,71.83,466,1703,51.56,18.92222222,122326.49,41940
Valentino Beauty,Europe,Paris,Luxury Mall,Shop-in-Shop,6/3/24,7/12/24,39,LE-17VW6S8B,Valentino Beauty Velvet Highlighter,81.46,672,441,92.45,11.30769231,35923.86,26208
Shiseido,Asia-Pacific,Tokyo,Airport Duty-Free,Shop-in-Shop,10/30/24,12/28/24,59,LE-0SP0LUXE,Shiseido Opulence Blush,67.72,1113,101,48.33,1.711864407,6839.72,65667
YSL Beauty,Middle East,Jeddah,Luxury Mall,Shop-in-Shop,3/29/25,4/22/25,24,LE-0Z7E8ESO,YSL Beauty Satin Setting Powder,58.97,1130,1565,68.4,65.20833333,92288.05,27120
Armani Beauty,North America,Miami,Art/Design District,Mobile Pop-Up Truck,8/24/24,8/28/24,4,LE-NC1GE53L,Armani Beauty Noir Fragrance,274.59,1102,1270,98.3,317.5,348729.3,4408
La Prairie,Latin America,Lima,Art/Design District,Mall Kiosk,2/4/25,4/17/25,72,LE-WOX779RR,La Prairie Éclat Foundation,104.76,718,1777,63.13,24.68055556,186158.52,51696
Charlotte Tilbury,North America,Chicago,Luxury Mall,Mobile Pop-Up Truck,1/2/25,3/2/25,59,LE-QOD7DUV7,Charlotte Tilbury Noir Highlighter,43.65,900,1912,92.37,32.40677966,83458.8,53100
Armani Beauty,Latin America,Lima,Airport Duty-Free,Mall Kiosk,6/22/24,7/30/24,38,LE-2VBOKYQI,Armani Beauty Velvet Blush,38.64,1833,2946,93.58,77.52631579,113833.44,69654
Valentino Beauty,Latin America,Mexico City,Airport Duty-Free,Standalone Pop-Up,2/25/25,5/3/25,67,LE-A6XS71ZV,Valentino Beauty Satin Blush,61.95,870,2567,55.57,38.31343284,159025.65,58290
MAC Cosmetics,Middle East,Doha,Airport Duty-Free,Standalone Pop-Up,6/5/24,6/17/24,12,LE-TIXM2CG5,MAC Cosmetics Velvet Serum,111.69,1738,744,62.78,62,83097.36,20856
Pat McGrath Labs,North America,Los Angeles,Airport Duty-Free,Standalone Pop-Up,5/25/24,6/26/24,32,LE-7KIK30IW,Pat McGrath Labs Mirage Primer,52.46,2020,967,91.92,30.21875,50728.82,64640
Huda Beauty,Europe,London,Airport Duty-Free,Standalone Pop-Up,3/18/25,5/28/25,71,LE-76JQQVW7,Huda Beauty Mirage Primer,65.48,2266,898,78.36,12.64788732,58801.04,160886
Dior,Europe,Berlin,Airport Duty-Free,Flash Event,4/23/25,7/17/25,85,LE-N55VSLT5,Dior Éclat Lipstick,52.63,2126,3834,100,45.10588235,201783.42,180710
Pat McGrath Labs,Latin America,São Paulo,Art/Design District,Standalone Pop-Up,11/7/24,12/31/24,54,LE-ZOYAQIUB,Pat McGrath Labs Mirage Lipstick,55.78,807,1811,72.82,33.53703704,101017.58,43578
NARS,Asia-Pacific,Hong Kong,Luxury Mall,Standalone Pop-Up,3/24/24,4/28/24,35,LE-26ZJG1FK,NARS Lumière Lipstick,36.29,1860,338,75.96,9.657142857,12266.02,65100
Shiseido,Europe,Berlin,Department Store Atrium,Mobile Pop-Up Truck,7/3/24,8/21/24,49,LE-863PTTE9,Shiseido Velvet Fragrance,231.73,1794,999,100,20.3877551,231498.27,87906
Givenchy Beauty,North America,Los Angeles,Art/Design District,Shop-in-Shop,4/29/24,7/9/24,71,LE-V566VABJ,Givenchy Beauty Éclat Mascara,65.15,534,472,64.04,6.647887324,30750.8,37914
Sisley-Paris,Middle East,Dubai,Airport Duty-Free,Mall Kiosk,2/20/25,3/12/25,20,LE-5NSK7OKR,Sisley-Paris Satin Mascara,63.8,1674,1261,76.84,63.05,80451.8,33480
Tom Ford Beauty,North America,New York,Department Store Atrium,Mall Kiosk,2/24/25,3/30/25,34,LE-6582YCV2,Tom Ford Beauty Velvet Mascara,36.65,681,3265,72.86,96.02941176,119662.25,23154
Clé de Peau Beauté,Asia-Pacific,Shanghai,High-Street,Mobile Pop-Up Truck,6/16/25,8/2/25,47,LE-K8LU5RPJ,Clé de Peau Beauté Éclat Lipstick,60.58,1178,4093,95.88,87.08510638,247953.94,55366
Chanel,North America,Toronto,Department Store Atrium,Standalone Pop-Up,5/17/25,8/2/25,77,LE-JXZTAB8W,Chanel Satin Foundation,92.97,1512,3830,100,49.74025974,356075.1,116424
YSL Beauty,Middle East,Riyadh,Art/Design District,Mobile Pop-Up Truck,5/25/24,7/22/24,58,LE-Z69D6NXC,YSL Beauty Velvet Serum,195.83,1329,3334,99.82,57.48275862,652897.22,77082
Clé de Peau Beauté,Latin America,Bogotá,High-Street,Mall Kiosk,3/20/25,6/11/25,83,LE-5H1THLY8,Clé de Peau Beauté Pearl Setting Powder,81.37,1503,1762,50.82,21.22891566,143373.94,124749
MAC Cosmetics,North America,Los Angeles,Luxury Mall,Shop-in-Shop,6/17/25,6/28/25,11,LE-7S1JHTQI,MAC Cosmetics Rouge Foundation,97.8,897,3184,92,289.4545455,311395.2,9867
Huda Beauty,Latin America,São Paulo,Luxury Mall,Shop-in-Shop,1/29/25,3/2/25,32,LE-MQQYHP5E,Huda Beauty Velvet Fragrance,158.02,1300,2288,57.75,71.5,361549.76,41600
Tom Ford Beauty,Middle East,Doha,Airport Duty-Free,Mall Kiosk,10/24/24,10/28/24,4,LE-H32TZQX7,Tom Ford Beauty Velvet Blush,51.91,1045,2136,93.11,534,110879.76,4180
Hourglass,North America,Los Angeles,High-Street,Flash Event,12/30/24,2/28/25,60,LE-DLD1G6Y9,Hourglass Noir Mascara,36.88,1769,2081,86.6,34.68333333,76747.28,106140
Dior,Middle East,Dubai,High-Street,Shop-in-Shop,10/20/24,1/15/25,87,LE-PA3G9DQA,Dior Satin Fragrance,110.19,2362,2268,87.64,26.06896552,249910.92,205494
Tom Ford Beauty,North America,Chicago,Airport Duty-Free,Mobile Pop-Up Truck,3/13/24,6/10/24,89,LE-Y1KDKHSW,Tom Ford Beauty Velvet Foundation,75.81,1906,2853,90.74,32.05617978,216285.93,169634
